date,transfer_count,usdc_volume,BTC_Close,ETH_Close
2024-04-28,60255,3329875210.279316,63113.23046875,3262.774658203125
2024-04-29,76360,7983946172.121124,63841.12109375,3215.428955078125
2024-04-30,91280,12506202127.547106,60636.85546875,3012.286865234375
2024-05-01,97380,10460644173.703796,58254.01171875,2969.78466796875
2024-05-02,83527,11168384829.591232,59123.43359375,2988.16845703125
2024-05-03,85766,9008964248.225851,62889.8359375,3103.5419921875
2024-05-04,67889,4634129537.504106,63891.47265625,3117.576416015625
2024-05-05,63478,2518481015.984412,64031.1328125,3137.2490234375
2024-05-06,98974,9321574762.213371,63161.94921875,3062.728759765625
2024-05-07,95873,7253265600.950511,62334.81640625,3006.5771484375
2024-05-08,84089,8124532847.409366,61187.94140625,2973.6572265625
2024-05-09,87222,8191618566.5256,63049.9609375,3036.0205078125
2024-05-10,86409,6827643385.496816,60792.77734375,2909.791259765625
2024-05-11,59557,2718151472.288806,60793.7109375,2911.60205078125
2024-05-12,63580,2028313916.0039823,61448.39453125,2928.701904296875
2024-05-13,89139,6728473056.90354,62901.44921875,2949.359619140625
2024-05-14,83272,7914050406.675328,61552.7890625,2881.157958984375
2024-05-15,93510,9234288483.902737,66267.4921875,3037.056640625
2024-05-16,109549,7729393756.834453,65231.58203125,2945.131103515625
2024-05-17,100426,10098084895.993568,67051.875,3094.11865234375
2024-05-18,77913,3817155481.523655,66940.8046875,3122.948974609375
2024-05-19,70806,2829486838.9326034,66278.3671875,3071.843017578125
2024-05-20,99459,11806469247.98651,71448.1953125,3663.85546875
2024-05-21,115498,18774703770.50833,70136.53125,3789.312744140625
2024-05-22,96437,10575948050.646835,69122.3359375,3737.2177734375
2024-05-23,98503,12613167636.354984,67929.5625,3776.92724609375
2024-05-24,88583,10042250346.406092,68526.1015625,3726.9345703125
2024-05-25,75794,2748266601.1443357,69265.9453125,3749.236572265625
2024-05-26,72828,4525346440.330313,68518.09375,3825.8974609375
2024-05-27,75535,6269449141.465435,69394.5546875,3892.0068359375
2024-05-28,78081,8942664056.116375,68296.21875,3840.25634765625
2024-05-29,81499,10790047511.8674,67578.09375,3763.196533203125
2024-05-30,80495,9210119896.0827,68364.9921875,3746.849609375
2024-05-31,79638,7905795524.891675,67491.4140625,3760.026611328125
2024-06-01,65101,2195521054.177478,67706.9375,3813.198974609375
2024-06-02,61634,2104655186.0696695,67751.6015625,3780.89599609375
2024-06-03,74865,9346629215.206888,68804.78125,3766.38916015625
2024-06-04,76894,8021500970.58162,70567.765625,3812.515869140625
2024-06-05,75023,9585363597.926062,71082.8203125,3864.260986328125
2024-06-06,67611,8137965956.741798,70757.1640625,3811.60595703125
2024-06-07,77171,8604034492.249002,69342.5859375,3678.629150390625
2024-06-08,65298,3973909119.3269906,69305.7734375,3680.949951171875
2024-06-09,60507,2696527198.653063,69647.9921875,3705.90380859375
2024-06-10,76838,7751803178.558104,69512.28125,3666.717529296875
2024-06-11,84604,9764261981.20025,67332.03125,3498.33056640625
2024-06-12,76795,8718017085.84381,68241.1875,3559.61767578125
2024-06-13,79833,9572358784.013124,66756.3984375,3469.28125
2024-06-14,80781,10601913144.535145,66011.09375,3480.27197265625
2024-06-15,62818,2907518430.653757,66191.0,3565.549560546875
2024-06-16,60492,2544723813.679179,66639.046875,3620.5634765625
2024-06-17,85243,9533232899.729765,66490.296875,3511.37890625
2024-06-18,103981,9284145083.541882,65140.74609375,3483.681396484375
2024-06-19,75698,4644599773.235546,64960.296875,3559.347412109375
2024-06-20,76483,7644244937.308356,64828.65625,3511.0869140625
2024-06-21,81720,7852484328.895714,64096.19921875,3516.07568359375
2024-06-22,66408,2294226256.80923,64252.578125,3494.8134765625
2024-06-23,72805,2909495593.917107,63180.796875,3418.61181640625
2024-06-24,105018,11476246482.604872,60277.4140625,3350.25634765625
2024-06-25,97726,11130054219.905573,61804.640625,3395.029052734375
2024-06-26,76938,9243949326.29094,60811.27734375,3369.477294921875
2024-06-27,74857,10078360850.283962,61604.80078125,3444.800537109375
2024-06-28,92626,9907475480.190536,60320.13671875,3373.635986328125
2024-06-29,75794,2789648449.6039743,60887.37890625,3372.9677734375
2024-06-30,74860,4418867986.232279,62678.29296875,3432.88916015625
2024-07-01,85665,10331594772.699951,62851.98046875,3440.341552734375
2024-07-02,81986,8546679494.708827,62029.015625,3416.354736328125
2024-07-03,85237,8798082979.453426,60173.921875,3292.916748046875
2024-07-04,94716,7461151809.456238,56977.703125,3054.52197265625
2024-07-05,115950,13803535720.019188,56662.375,2981.5986328125
2024-07-06,76970,3339952699.2793913,58303.5390625,3069.3779296875
2024-07-07,77553,3282399058.090256,55849.109375,2929.38720703125
2024-07-08,100245,11611217391.948776,56705.09765625,3018.73193359375
2024-07-09,83612,7080074525.833508,58009.2265625,3064.032958984375
2024-07-10,80057,7895027312.11443,57742.49609375,3102.21875
2024-07-11,85153,9596003927.424068,57344.9140625,3100.330810546875
2024-07-12,86883,9390665694.32792,57899.46484375,3134.15869140625
2024-07-13,67246,2703709875.358321,59231.953125,3177.19873046875
2024-07-14,67601,2673068423.005726,60787.79296875,3244.0791015625
2024-07-15,88063,12152918603.347383,64870.15234375,3489.552734375
2024-07-16,85139,9619745481.344725,65097.1484375,3443.513427734375
2024-07-17,76571,7909473260.38483,64118.79296875,3388.75244140625
2024-07-18,72773,6501360002.615303,63974.06640625,3426.258544921875
2024-07-19,80815,11135719542.652592,66710.15625,3505.73486328125
2024-07-20,68856,3863051347.952976,67163.6484375,3519.29541015625
2024-07-21,68324,4185797497.540025,68154.5234375,3536.60546875
2024-07-22,79595,7971919351.836627,67585.25,3440.419921875
2024-07-23,88509,12327423253.186407,65927.671875,3481.995849609375
2024-07-24,82051,8321966693.078163,65372.1328125,3336.33935546875
2024-07-25,98172,8364295048.482408,65777.2265625,3174.42724609375
2024-07-26,87651,8410300005.653361,67912.0625,3275.951416015625
2024-07-27,73208,3839530744.788743,67813.3359375,3247.60791015625
2024-07-28,67603,2859692836.4159617,68255.8671875,3271.464599609375
2024-07-29,92961,12895288563.127993,66819.9140625,3320.539306640625
2024-07-30,80732,7781889124.977912,66201.015625,3278.667724609375
2024-07-31,85679,8568951519.633919,64619.25,3231.295654296875
2024-08-01,93162,9067520730.25677,65357.5,3201.564453125
2024-08-02,100994,9299106999.42392,61415.06640625,2986.01318359375
2024-08-03,104008,5528244935.652129,60680.09375,2903.3857421875
2024-08-04,103587,5609514632.505957,58116.9765625,2686.39892578125
2024-08-05,164535,23933513462.724117,53991.45703125,2417.206298828125
2024-08-06,114655,12823019718.054054,56034.31640625,2458.723876953125
2024-08-07,108934,9931125354.720882,55027.4609375,2336.58935546875
2024-08-08,100557,8564917647.169064,61710.13671875,2683.352783203125
2024-08-09,91598,8811160933.028751,60880.11328125,2599.5986328125
2024-08-10,74182,2655303408.460029,60945.8125,2610.02294921875
2024-08-11,76891,3719924375.462496,58719.484375,2553.252197265625
2024-08-12,92367,10617057129.908243,59354.515625,2724.431884765625
2024-08-13,91200,9520883248.575846,60609.56640625,2703.671875
2024-08-14,85555,9506186008.703936,58737.26953125,2662.914794921875
2024-08-15,84208,8245256010.458639,57560.09765625,2570.087646484375
2024-08-16,92457,9669181372.405228,58894.10546875,2593.1865234375
2024-08-17,65097,3056666852.9781075,59478.97265625,2614.546875
2024-08-18,67474,2707987824.1539135,58483.96484375,2613.357177734375
2024-08-19,84457,8983978331.455416,59493.453125,2637.306396484375
2024-08-20,103814,9950002976.865644,59012.79296875,2573.10693359375
2024-08-21,92629,10526598844.491934,61175.19140625,2631.3955078125
2024-08-22,91145,9041630061.7317,60381.9140625,2622.951416015625
2024-08-23,107603,12232688924.61121,64094.35546875,2764.447021484375
2024-08-24,93581,5344932060.049711,64178.9921875,2769.3896484375
2024-08-25,81746,3735259364.129256,64333.54296875,2749.15771484375
2024-08-26,95786,9762790868.886536,62880.66015625,2681.340576171875
2024-08-27,106665,11233495668.545565,59504.1328125,2458.7265625
2024-08-28,111528,10440589937.89144,59027.625,2528.41552734375
2024-08-29,105340,9970179262.4687,59388.1796875,2528.792724609375
2024-08-30,118104,9129926052.631468,59119.4765625,2525.822021484375
2024-08-31,82826,2222586754.3985963,58969.8984375,2513.393798828125
2024-09-01,95082,4668285633.71413,57325.48828125,2427.90234375
2024-09-02,89104,4801993347.178682,59112.48046875,2538.187255859375
2024-09-03,102016,8817382745.687483,57431.0234375,2420.603759765625
2024-09-04,106011,12534751137.46676,57971.5390625,2448.97705078125
2024-09-05,88218,8381454652.0853405,56160.48828125,2367.737548828125
2024-09-06,112176,10240980792.185196,53948.75390625,2223.87646484375
2024-09-07,100176,3695673459.1080112,54139.6875,2274.107177734375
2024-09-08,102778,2558320157.4079285,54841.56640625,2297.29296875
2024-09-09,101950,9224143019.40726,57019.53515625,2358.482177734375
2024-09-10,92005,8888389066.149872,57648.7109375,2389.5810546875
2024-09-11,101485,8417221832.432436,57343.171875,2339.841552734375
2024-09-12,99215,7208939611.104492,58127.01171875,2361.78173828125
2024-09-13,112658,10475713909.71102,60571.30078125,2441.607177734375
2024-09-14,98950,2761460741.81627,60005.12109375,2418.595703125
2024-09-15,118761,3132507841.90337,59182.8359375,2320.897216796875
2024-09-16,94788,9265964827.882635,58192.5078125,2295.28369140625
2024-09-17,87067,8549236020.10872,60308.5390625,2341.707763671875
2024-09-18,80638,7986866263.811331,61649.6796875,2369.72900390625
2024-09-19,80630,10901212498.69325,62940.45703125,2464.752197265625
2024-09-20,75650,9580591607.477757,63192.9765625,2561.072021484375
2024-09-21,58549,2324599108.156123,63394.83984375,2615.857177734375
2024-09-22,58771,2206844014.1778007,63648.7109375,2582.862548828125
2024-09-23,74294,7742378303.48408,63329.80078125,2648.54638671875
2024-09-24,69910,7318220989.588838,64301.96875,2654.35498046875
2024-09-25,70173,7937250725.681032,63143.14453125,2579.388671875
2024-09-26,76462,8652328212.625435,65181.01953125,2632.199951171875
2024-09-27,85867,9804928163.26685,65790.6640625,2695.900634765625
2024-09-28,78552,2030357299.8490243,65887.6484375,2677.5390625
2024-09-29,70504,2024261699.0847163,65635.3046875,2659.346923828125
2024-09-30,94395,11984293931.36752,63329.5,2603.062744140625
2024-10-01,105687,14450546573.957329,60837.0078125,2448.921142578125
2024-10-02,94359,9481726176.83183,60632.78515625,2365.231689453125
2024-10-03,99077,7960017034.52,60759.40234375,2349.791259765625
2024-10-04,100171,9178229294.945251,62067.4765625,2414.7939453125
2024-10-05,75440,2180239718.4967756,62089.94921875,2415.6318359375
2024-10-06,66376,2079406441.80634,62818.953125,2439.957763671875
2024-10-07,86764,9847248865.7193,62236.66015625,2421.796630859375
2024-10-08,77750,9272358398.429129,62131.96875,2439.8408203125
2024-10-09,78296,8606850034.440802,60582.1015625,2368.283447265625
2024-10-10,89460,8952355161.429718,60274.5,2383.85791015625
2024-10-11,79209,9107341294.478174,62445.08984375,2436.513427734375
2024-10-12,80644,2640091881.012432,63193.0234375,2476.523193359375
2024-10-13,76580,2388499219.7388744,62851.375,2467.677001953125
2024-10-14,87147,9567917886.739454,66046.125,2628.89990234375
2024-10-15,92217,11140945849.297806,67041.109375,2606.02197265625
2024-10-16,85409,11692043802.67631,67612.71875,2611.10205078125
2024-10-17,75199,9190946638.952929,67399.8359375,2604.2734375
2024-10-18,68885,7469064417.210943,68418.7890625,2641.55224609375
2024-10-19,63244,2159370902.2116904,68362.734375,2648.656982421875
2024-10-20,67602,2152013070.175634,69001.703125,2746.364013671875
2024-10-21,86480,10292122068.777905,67367.8515625,2665.712158203125
2024-10-22,84068,8557783685.268646,67361.40625,2620.197509765625
2024-10-23,87888,10933189278.523104,66432.1953125,2509.098876953125
2024-10-24,87693,8983680041.183243,68161.0546875,2534.49853515625
2024-10-25,105127,12490945931.568,66642.4140625,2435.93408203125
2024-10-26,79538,3669281211.920724,67014.6953125,2479.603271484375
2024-10-27,65955,2510575379.7037206,67929.296875,2505.940673828125
2024-10-28,87557,9143779744.727425,69907.7578125,2565.34814453125
2024-10-29,100910,12710259429.74672,72720.4921875,2637.95751953125
2024-10-30,87870,9665705689.49404,72339.5390625,2657.37255859375
2024-10-31,97439,11440334550.798656,70215.1875,2515.79931640625
2024-11-01,103396,12527184816.481236,69482.46875,2511.885498046875
2024-11-02,76970,3305041048.688502,69289.2734375,2491.068603515625
2024-11-03,100858,3418272742.475701,68741.1171875,2456.42529296875
2024-11-04,104452,9365869451.466042,67811.5078125,2397.0263671875
2024-11-05,117193,10945997810.09111,69359.5625,2422.650634765625
2024-11-06,130175,22256054594.827477,75639.078125,2724.169189453125
