date,transfer_count,usdc_volume
2025-08-18 00:00:00.000 UTC,354896,42210654243.80347
2025-08-19 00:00:00.000 UTC,360350,44398524652.81861
2025-08-20 00:00:00.000 UTC,341571,42069655575.77718
2025-08-21 00:00:00.000 UTC,348127,28434531317.04129
2025-08-22 00:00:00.000 UTC,357552,40070084166.4245
2025-08-23 00:00:00.000 UTC,325669,34167821288.05642
2025-08-24 00:00:00.000 UTC,318432,33481035326.14424
2025-08-25 00:00:00.000 UTC,371245,59815372574.64801
2025-08-26 00:00:00.000 UTC,363217,45191333588.386375
2025-08-27 00:00:00.000 UTC,322301,50209484564.735886
2025-08-28 00:00:00.000 UTC,376689,40512242923.65147
2025-08-29 00:00:00.000 UTC,397656,53033640708.00996
2025-08-30 00:00:00.000 UTC,275421,26201826622.44695
2025-08-31 00:00:00.000 UTC,360852,39979776183.743
2025-09-01 00:00:00.000 UTC,373825,38521721750.69321
2025-09-02 00:00:00.000 UTC,410605,49682612126.65027
2025-09-03 00:00:00.000 UTC,397469,39120219471.880714
2025-09-04 00:00:00.000 UTC,353208,33783906646.038097
2025-09-05 00:00:00.000 UTC,384260,33219585757.048855
2025-09-06 00:00:00.000 UTC,250215,16791941412.082745
2025-09-07 00:00:00.000 UTC,246161,15790720649.661308
2025-09-08 00:00:00.000 UTC,335331,30233244322.03916
2025-09-09 00:00:00.000 UTC,346052,33112354006.74785
2025-09-10 00:00:00.000 UTC,368732,28644838407.8377
2025-09-11 00:00:00.000 UTC,380181,36703911711.80217
2025-09-12 00:00:00.000 UTC,380362,42426063923.78477
2025-09-13 00:00:00.000 UTC,349453,24053580105.70739
2025-09-14 00:00:00.000 UTC,311119,32558425726.3842
2025-09-15 00:00:00.000 UTC,358337,42009524441.03768
2025-09-16 00:00:00.000 UTC,349991,27528434683.5709
2025-09-17 00:00:00.000 UTC,378206,30641653678.373497
2025-09-18 00:00:00.000 UTC,376270,48281220635.31717
2025-09-19 00:00:00.000 UTC,398585,29107489449.914497
2025-09-20 00:00:00.000 UTC,411464,20384807070.871384
2025-09-21 00:00:00.000 UTC,307537,24263645756.011604
2025-09-22 00:00:00.000 UTC,416027,38830281572.02076
2025-09-23 00:00:00.000 UTC,390995,37188877042.8583
2025-09-24 00:00:00.000 UTC,371602,38585132930.67892
2025-09-25 00:00:00.000 UTC,431400,67151919153.56398
2025-09-26 00:00:00.000 UTC,418657,39466819319.89517
2025-09-27 00:00:00.000 UTC,316545,28078697334.76472
2025-09-28 00:00:00.000 UTC,325098,24650191194.17691
2025-09-29 00:00:00.000 UTC,471174,48996985619.667145
2025-09-30 00:00:00.000 UTC,466550,53997288438.45717
2025-10-01 00:00:00.000 UTC,497356,33965104222.2749
2025-10-02 00:00:00.000 UTC,490699,32769552185.683125
2025-10-03 00:00:00.000 UTC,431096,42645739692.67416
2025-10-04 00:00:00.000 UTC,325731,26112319552.406864
2025-10-05 00:00:00.000 UTC,351813,45186823187.59866
2025-10-06 00:00:00.000 UTC,377966,45877016535.248314
2025-10-07 00:00:00.000 UTC,402581,42196055120.66278
2025-10-08 00:00:00.000 UTC,438625,36313551475.75087
2025-10-09 00:00:00.000 UTC,417892,45003196788.07695
2025-10-10 00:00:00.000 UTC,408939,48911439747.34981
2025-10-11 00:00:00.000 UTC,419657,52264643747.15668
2025-10-12 00:00:00.000 UTC,376955,52157312474.470215
2025-10-13 00:00:00.000 UTC,405934,44004865954.544334
2025-10-14 00:00:00.000 UTC,413171,67958240596.83887
2025-10-15 00:00:00.000 UTC,405955,54746748376.00954
2025-10-16 00:00:00.000 UTC,383065,64333961497.33384
2025-10-17 00:00:00.000 UTC,408222,69273002490.69838
2025-10-18 00:00:00.000 UTC,303225,25963020324.701454
2025-10-19 00:00:00.000 UTC,291034,68712203214.86058
2025-10-20 00:00:00.000 UTC,336585,57343846885.28452
2025-10-21 00:00:00.000 UTC,386549,115955511642.86246
2025-10-22 00:00:00.000 UTC,399717,84796909116.38005
2025-10-23 00:00:00.000 UTC,413143,95047111648.97588
2025-10-24 00:00:00.000 UTC,426126,48071292513.07523
2025-10-25 00:00:00.000 UTC,306818,27439171980.225792
2025-10-26 00:00:00.000 UTC,294659,34714130211.26185
2025-10-27 00:00:00.000 UTC,399755,49236603180.14403
2025-10-28 00:00:00.000 UTC,424521,44537532344.12732
2025-10-29 00:00:00.000 UTC,399845,50854913205.07086
2025-10-30 00:00:00.000 UTC,409751,58092362386.62562
2025-10-31 00:00:00.000 UTC,432213,58697636068.12856
2025-11-01 00:00:00.000 UTC,325995,40556152779.27183
2025-11-02 00:00:00.000 UTC,302154,23427837375.725372
2025-11-03 00:00:00.000 UTC,438421,57236621217.847824
2025-11-04 00:00:00.000 UTC,448575,59558580632.70047
2025-11-05 00:00:00.000 UTC,461523,59952147208.40561
